,Unnamed: 0,Source File,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Temperament,Training,title,genus,species,name
0,0,httpsa-z-animalscomanimals.html,All Animals A-Z List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,httpsa-z-animalscomanimalsaardvark.html,Aardvark,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,"Termites, Ants",Cub,Solitary,Can move up to 2ft of soil in just 15 seconds!,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18.0,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,Aardvark,orycteropus,afer,
2,2,httpsa-z-animalscomanimalsaardwolf.html,Aardwolf,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Termites and other insects,Cubs or pups,Solitary,The aardwolf has five toes on its front paws,,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,2-5,,aardwolf,1.0,Sub-Saharan Africa,,,Hair,,15 years,17-31lbs,33-41in,1.5-2 years,3-4 months,,,,,,
3,3,httpsa-z-animalscomanimalsabyssinian guinea pig.html,Abyssinian Guinea Pig,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,,Pups,Herd,They are one of the oldest breeds of guinea pig,,,Rosette patterned fur,,58-72 days,"Grass lands, mountains, hills",Omnivore,5-15,Herd,,,South America,,Herd,Fur,4 mph,5-15,,,3 months,21 days,Social,,,,,
4,4,httpsa-z-animalscomanimalsabyssinian.html,Abyssinian,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,"The breed may be a mix of Burmese, Siamese, and Russian Blue.",,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,One of the oldest cat breeds in the world!,Cat,Hair,,13-15 years,8-12 lbs,,,,Intelligent and curious,Easy,,,,
5,5,httpsa-z-animalscomanimalsacadian flycatcher.html,Acadian Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax virescens,"wasps, bees, caterpillars, ants, flies, beetles, moths, spiders, and millipedes",Chicks,Solitary/Pairs,Their nests are sloppily held together and have an abandoned appearance,5.2 million,Habitat loss and degradation,Olive green coloring with white wingbars,,,Wet deciduous forests,Insectivore,,Diurnal,Acadian flycatcher,,"<a href=""https://a-z-animals.com/animals/location/north-america/"">North America</a>, South America",,,Feathers,,3 years,0.4 to 0.5 ounces,5.5 to 5.9 inches,One year,,,,,,,
6,6,httpsa-z-animalscomanimalsachrioptera manga.html,Achrioptera Manga,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,Achrioptera,Achrioptera manga,,,Solitary,"Unlike other species of stick insects, the Achrioptera manga's mating season is year-round and mating occurs regularly.",,,Bright blue coloring of males,,4-5 months,,Herbivore,40-50 eggs,,,,,,,Exoskeleton,,Several months,,5.2-9.1 in,4-6 months,,,,,,,
7,7,httpsa-z-animalscomanimalsackie monitor.html,Ackie Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanthus acanthurus,"arthropods such as cockroaches, beetles, crickets, caterpillars, and small rodents, small lizards",hatchling,"Solitary</li><li class=""list-item"">Mainly solitary",The ackie monitor has a spiny tail which it uses as in self-defense.,,"Raptors, snakes, bigger monitor lizards, metabolic bone disease",,"spiny-tailed monitor, ridge-tailed monitor, ackie dwarf monitor",,"Arid scrublands, woodlands",Carnivore,6 to 18 eggs,"Solitary</li><li class=""list-item"">Diurnal/Nocturnal",Ackie monitor,2.0,,,,Scales,,15 to 20 years,,2 to 2.5 feet at adulthood,,,Docile,,,,,
8,8,httpsa-z-animalscomanimalsaddax.html,Addax,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,,Calf,Social,"The hooves of the addax are splayed and have flat, springy soles, one of the adaptations that help it walk over sand.",Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,1-2,,Addax,1.0,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,,,Addax,addax,nasomaculatus,addax
9,9,httpsa-z-animalscomanimalsadelie penguin.html,Adelie Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,Eats up to 2kg of food per day!,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1.0,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,,,,,
10,10,httpsa-z-animalscomanimalsadmiral butterfly.html,Admiral Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,,,Larvae,Solitary/Group,"Admiral butterflies are named for their wing patterns, which resemble military insignia!",,Habitat loss,Flashy wing colors and patterns,,,"Forests, fields, jungles, mountain ranges, orchards, near streams and marshes, urban areas",Herbivore,,Diurnal,,,,Stunningly beautiful wings,"Kaleidoscope, flutter, or swarm",Exoskeleton,,,,,,,,,,,,
11,11,httpsa-z-animalscomanimalsaesculapian snake.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,httpsa-z-animalscomanimalsaffenpinscher.html,Affenpinscher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,The German name Affenpinscher translates to monkey dog. This pup’s face is similar to a monkey’s!,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,Hair,,,,,,,Alert and inquisitive,Medium,Affenpinscher,,,affenpinscher
